cycle,publication_date,category,evergreen_or_timely,new_or_update,working_title,supports_service_page,rationale,status
1,2026-08-01,Google Ads and PPC,Evergreen,New,Where Small Google Ads Budgets Get Wasted,/google-and-facebook-ads/,Closes the largest content gap on the site. Commercial intent and Archie has direct account experience to draw on.,Planned pending revalidation
2,2026-08-15,SEO and AI Search,Timely,New,How to Measure Whether Your Business Shows Up in Google AI Answers,/seo/,High current interest and most published advice is speculative. Opportunity to be concrete about what can actually be measured.,Planned pending revalidation
3,2026-09-01,Local SEO and GBP,Evergreen,Update,What Actually Affects Google Business Profile Visibility,/google-business-profile-optimization/,Existing GBP ultimate guide is a year old on a fast moving subject. Update is likely stronger than a new URL.,Planned pending revalidation
4,2026-09-15,Google Ads and PPC,Timely,New,Google Ads Automation for Local Service Businesses,/google-and-facebook-ads/,Ad platform automation keeps changing. Verify current product names and rollout status before committing.,Planned pending revalidation
5,2026-10-01,Web Design and Development,Evergreen,New,AI Website Builders Versus Professional Web Design,/web-design-fort-wayne/,Direct commercial relevance and a question Archie is asked repeatedly. Strong firsthand opinion available.,Planned pending revalidation
6,2026-10-15,Local SEO and GBP,Timely,New,Google Business Profile Messaging for Service Businesses,/google-business-profile-optimization/,Messaging features have shifted repeatedly. Confirm current availability before scheduling.,Planned pending revalidation
7,2026-11-01,SEO and AI Search,Evergreen,New,Getting Leads When AI Answers Sit Above the Organic Results,/seo/,Addresses the real business fear behind AI search. Conversion angle rather than a ranking angle.,Planned pending revalidation
8,2026-11-15,Local SEO and GBP,Evergreen,Update,Consolidate the two overlapping Fort Wayne local SEO articles,/seo/,Cannibalization fix from the site backlog. Resolves competing URLs before more local content is added.,Planned pending revalidation
9,2026-12-01,Google Ads and PPC,Evergreen,New,How to Tell Whether Your Google Ads Are Actually Working,/google-and-facebook-ads/,Third PPC piece builds the empty hub. Strong lead generation intent from owners already spending.,Planned pending revalidation
10,2026-12-15,Web Design and Development,Timely,New,What Makes a Website Usable by AI Browser Agents,/web-design-fort-wayne/,Emerging and genuinely uncertain. Only proceed if primary documentation supports concrete guidance.,Planned pending revalidation
11,2027-01-01,SEO and AI Search,Timely,New,How to Evaluate a Traffic Drop After a Google Update,/seo/,Evergreen demand with timely hooks. Diagnostic framing suits Archie's experience.,Planned pending revalidation
12,2027-01-15,Web Design and Development,Evergreen,Update,Refresh the Fort Wayne web design article and drop the year from the slug,/web-design-fort-wayne/,Oldest post on the site with a stale year stamped title. Refresh plus 301 rather than a new URL.,Planned pending revalidation
